kaydasheva_s000001|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.
kaydasheva_s000019|Люди з кутка позбігались і дивились в ворота й через тин. Декотрі сусіди почали вмикуватися, хотіли їх мирити і вговорювали Мотрю.|Люди з кутка позбігались і дивились в ворота й через тин. Декотрі сусіди почали вмикуватися, хотіли їх мирити і вговорювали Мотрю.
kaydasheva_s000020|Гм? — мукнув Карпо, стоячи коло хати.|Гм? - мукнув Карпо, стоячи коло хати.
kaydasheva_s000021|Глянеш з високої гори на той ліс, і здається, ніби на гори впала оксамитова зелена тканка, гарно побгалась складками, позападала в вузькі долини тисячами оборок та жмутів.|Глянеш з високої гори на той ліс, і здається, ніби на гори впала оксамитова зелена тканка, гарно побгалась складками, позападала в вузькі долини тисячами оборок та жмутів.
kaydasheva_s000022|Ой, гарна ж дівчина, як рай, мов червона рожа, повита барвінком!— подумав Лаврін, запрягаючи другого вола.|Ой, гарна ж дівчина, як рай, мов червона рожа, повита барвінком!- подумав Лаврін, запрягаючи другого вола.
kaydasheva_s000023|між синіми дзвониками та червоною смілкою.|між синіми дзвониками та червоною смілкою.
kaydasheva_s000024|Хоч зараз вибирайся до сусід з своєї хати.|Хоч зараз вибирайся до сусід з своєї хати.
kaydasheva_s000025|Вже сонце зайшло, вже надворі смеркалось, а Кайдашиха сиділа та щебетала в попаді. Вони стояли, похиливши голови. Лаврін сперся на тин i думу думав. Кайдаш заснув, простягнувшись на возі.|Вже сонце зайшло, вже надворі смеркалось, а Кайдашиха сиділа та щебетала в попаді. Вони стояли, похиливши голови. Лаврін сперся на тин i думу думав. Кайдаш заснув, простягнувшись на возі.
kaydasheva_s000026|А за мною люди так і валять валкою, а я їх воджу од Воєнного Миколая до Десятинного, од Десятинного Миколая до Доброго, од Доброго Миколая до Малого, а далі до Мокрого Миколая,|А за мною люди так і валять валкою, а я їх воджу од Воєнного Миколая до Десятинного, од Десятинного Миколая до Доброго, од Доброго Миколая до Малого, а далі до Мокрого Миколая,
kaydasheva_s000027|душа через царські врата так і полетить просто в рай.|душа через царські врата так і полетить просто в рай.
kaydasheva_s000028|Оце, боже мій! Не взяла дітям нічогісінько. Нате ж вам хоч по шажку.|Оце, боже мій! Не взяла дітям нічогісінько. Нате ж вам хоч по шажку.
kaydasheva_s000029|Серце! Голубчику! Чи вже ти оце не вип'єш з нами хоч по одній чарці, хоч півчарки! Та тут же такий добрий жид! А! Що вже й казати!|Серце! Голубчику! Чи вже ти оце не вип'єш з нами хоч по одній чарці, хоч півчарки! Та тут же такий добрий жид! А! Що вже й казати!
kaydasheva_s000030|Вона дуже церемонилась і була прохана. Пробуваючи на службі в панів, вона набралась од їх чимало пишання.|Вона дуже церемонилась і була прохана. Пробуваючи на службі в панів, вона набралась од їх чимало пишання.
kaydasheva_s000031|З тими словами Кайдашиха накинула свиту та й побігла в волость позивати Мотрю та Карпа. Волосний покликав Карпа на суд. Карпо сказав, що він не думає одривать хати,|З тими словами Кайдашиха накинула свиту та й побігла в волость позивати Мотрю та Карпа. Волосний покликав Карпа на суд. Карпо сказав, що він не думає одривать хати,
kaydasheva_s000032|Як я тебе за себе візьму, чи не будеш нудитись в Семигорах? — спитав Лаврін.|Як я тебе за себе візьму, чи не будеш нудитись в Семигорах? - спитав Лаврін.
kaydasheva_s000033|А де ж ти була?|А де ж ти була?
kaydasheva_s000034|Вже пізненько, як усі богомольці поснули таким сном, що їх не розбудили б і лаврські дзвони, чернець вийшов з келії,|Вже пізненько, як усі богомольці поснули таким сном, що їх не розбудили б і лаврські дзвони, чернець вийшов з келії,
kaydasheva_s000035|Буду свої починки мотать. Одначе в вас доброї сорочки не заслужиш, — сказала Мотря.|Буду свої починки мотать. Одначе в вас доброї сорочки не заслужиш, - сказала Мотря.
kaydasheva_s000036|Нащо ж ти приставила страву в таких маленьких горнятках? Сьогодні ж не п'ятниця: і батько буде обідати.|Нащо ж ти приставила страву в таких маленьких горнятках? Сьогодні ж не п'ятниця: і батько буде обідати.
kaydasheva_s000038|Борщ зварила добре, а каша вийшла трохи рідка, — сказала Кайдашиха й почала знов навчати Мотрю. Мотря тільки очі спускала додолу.|Борщ зварила добре, а каша вийшла трохи рідка, - сказала Кайдашиха й почала знов навчати Мотрю. Мотря тільки очі спускала додолу.
kaydasheva_s000039|Світа не видати.|Світа не видати.
kaydasheva_s000040|Палажка вийшла на могилу, впала навколішки й почала молитись. З могили було видно на горах високі дзвіниці, церкви з золотими верхами.|Палажка вийшла на могилу, впала навколішки й почала молитись. З могили було видно на горах високі дзвіниці, церкви з золотими верхами.
kaydasheva_s000041|Чи ти хочеш бути найстаршою в xaтi, чи що? Чи ти хочеш, щоб мати була тобі за наймичку? Я тобі полічу ребра оцим мотовилом.|Чи ти хочеш бути найстаршою в xaтi, чи що? Чи ти хочеш, щоб мати була тобі за наймичку? Я тобі полічу ребра оцим мотовилом.
kaydasheva_s000042|покропила хату, засвітила страсну свічку перед образами.|покропила хату, засвітила страсну свічку перед образами.
kaydasheva_s000043|Лаврін махнув батогом на воли і, замість того, щоб їхати додому через греблю, повернув цабе на пригорок за дівчиною.|Лаврін махнув батогом на воли і, замість того, щоб їхати додому через греблю, повернув цабе на пригорок за дівчиною.
kaydasheva_s000044|Одна баба розказувала, що сама чула од людей, а ті люди казали, що ніби на свої очі бачили, як у Лаврі ходив якийсь чоловік, у котрого руки приросли до материних кіс.|Одна баба розказувала, що сама чула од людей, а ті люди казали, що ніби на свої очі бачили, як у Лаврі ходив якийсь чоловік, у котрого руки приросли до материних кіс.
kaydasheva_s000045|його очі блищали й горіли, як свічки.|його очі блищали й горіли, як свічки.
kaydasheva_s000046|аж у діброву, то вони б помирились.|аж у діброву, то вони б помирились.
kaydasheva_s000047|і поставив їм ціле відро горілки.|і поставив їм ціле відро горілки.
kaydasheva_s000048|Один дзвонар поклав на ту подушку образок, поставив олив'яну тарілку, вдарив поклона й поклав на тарілку шага. Баба Палажка й собі вдарила перед стільцем три поклони,|Один дзвонар поклав на ту подушку образок, поставив олив'яну тарілку, вдарив поклона й поклав на тарілку шага. Баба Палажка й собі вдарила перед стільцем три поклони,
kaydasheva_s000049|Чого нам змагаться, — говорив хитрий жид, — нащо вам мене кривдить. Буду я заробляти, будете й ви. Я поставлю ціну в своїх шинках таку, як у вашому, ще й зараз заплачу в волость сорок карбованців одчіпного.|Чого нам змагаться, - говорив хитрий жид, - нащо вам мене кривдить. Буду я заробляти, будете й ви. Я поставлю ціну в своїх шинках таку, як у вашому, ще й зараз заплачу в волость сорок карбованців одчіпного.
kaydasheva_s000050|Мотря знов ганяла Лаврінових дітей з свого города ломакою, доки груші зовсім не обірвали то Мотрині, то Лаврінові діти.|Мотря знов ганяла Лаврінових дітей з свого города ломакою, доки груші зовсім не обірвали то Мотрині, то Лаврінові діти.
kaydasheva_s000051|Про мене, йдіть і за волость, — кричала Мотря з своєї хати, витираючи ганчіркою яєчню в пазусі.|Про мене, йдіть і за волость, - кричала Мотря з своєї хати, витираючи ганчіркою яєчню в пазусі.
kaydasheva_s000052|За Россю, під високою скелею, блищав на сонці новий гарний панський млин, увесь обтесаний, обмальований, як цяцька, з покрівлею з дощок, з двома вікнами,|За Россю, під високою скелею, блищав на сонці новий гарний панський млин, увесь обтесаний, обмальований, як цяцька, з покрівлею з дощок, з двома вікнами,
kaydasheva_s000053|Одривай, Карпе, хату, бо я тебе покину з твоєю проклятою матір'ю, з твоїм іродовим кодлом! — репетувала Мотря.|Одривай, Карпе, хату, бо я тебе покину з твоєю проклятою матір'ю, з твоїм іродовим кодлом! - репетувала Мотря.
kaydasheva_s000054|Настала Пилипівка. Потяглися довгі, як море, ночі. Молодиці на селі почали вставати вдосвіта прясти.|Настала Пилипівка. Потяглися довгі, як море, ночі. Молодиці на селі почали вставати вдосвіта прясти.
kaydasheva_s000055|Кайдашиха заглянула в діжу. Тісто було зовсім невимішане: на йому було видно бульбашки, неначе горіхи.|Кайдашиха заглянула в діжу. Тісто було зовсім невимішане: на йому було видно бульбашки, неначе горіхи.
kaydasheva_s000056|На неї напав страх. Вона глянула ще раз вгору, і їй здалось, що хрести на церкві трусяться й коливаються, що коливається вся гора, от-от впаде на неї. І вона прожогом побігла з цвинтаря до хати.|На неї напав страх. Вона глянула ще раз вгору, і їй здалось, що хрести на церкві трусяться й коливаються, що коливається вся гора, от-от впаде на неї. І вона прожогом побігла з цвинтаря до хати.
kaydasheva_s000057|Сніг, неначе пух, посипався на його голову, на плечі, на голу шию, за пазуху. Тоді тільки він опам'ятувався, набрав у руки снігу, приклав до голови й тихою ходою пішов у хату.|Сніг, неначе пух, посипався на його голову, на плечі, на голу шию, за пазуху. Тоді тільки він опам'ятувався, набрав у руки снігу, приклав до голови й тихою ходою пішов у хату.
kaydasheva_s000058|Старий Кайдаш кинув струга і перехрестився. Він надів свиту й шапку, підперезався й пішов на гору до церкви.|Старий Кайдаш кинув струга і перехрестився. Він надів свиту й шапку, підперезався й пішов на гору до церкви.
kaydasheva_s000059|Баба Палажка лежала тепер од краю другою.|Баба Палажка лежала тепер од краю другою.
kaydasheva_s000060|Кайдашиха схопилась з постелі, кинулась до печі й почала роздувати жар, притуливши до його суху тріску. Вогонь блиснув на всю хату і полився через одчинені двері в сіни.|Кайдашиха схопилась з постелі, кинулась до печі й почала роздувати жар, притуливши до його суху тріску. Вогонь блиснув на всю хату і полився через одчинені двері в сіни.
kaydasheva_s000061|з його сивого волоса, з його голови, з його булави, з його очей, з його плечей. Зійди на ті болота, на ті очерети, де глас божий не заходить, де люди не ходять.|з його сивого волоса, з його голови, з його булави, з його очей, з його плечей. Зійди на ті болота, на ті очерети, де глас божий не заходить, де люди не ходять.
kaydasheva_s000062|Всю кибалку кругом і всі коси вона обтикала квітками з червоних, зелених, синіх і жовтих вузеньких стьожок.|Всю кибалку кругом і всі коси вона обтикала квітками з червоних, зелених, синіх і жовтих вузеньких стьожок.
kaydasheva_s000063|Кайдаш не встиг одвести очей, а з-під шиї вискочило вже два чорти, показали йому язики і знов сховались у дірку.|Кайдаш не встиг одвести очей, а з-під шиї вискочило вже два чорти, показали йому язики і знов сховались у дірку.
kaydasheva_s000064|А зась! Не діждеш ти мене сміттям годувати. Нагодуй свого Карпа, — сказала Мелашка і почала змітати сміття докупи до порога.|А зась! Не діждеш ти мене сміттям годувати. Нагодуй свого Карпа, - сказала Мелашка і почала змітати сміття докупи до порога.
kaydasheva_s000065|Пропадуть мої конопельки! Похоплива невісточка попряде їх собі на полотно поперед мене, — подумала Кайдашиха.|Пропадуть мої конопельки! Похоплива невісточка попряде їх собі на полотно поперед мене, - подумала Кайдашиха.
kaydasheva_s000066|Я на батька не кричала ніколи, а в вас мусиш кричать, коли робиш на всю сім'ю сама.|Я на батька не кричала ніколи, а в вас мусиш кричать, коли робиш на всю сім'ю сама.
kaydasheva_s000067|Та бодай не казати… сказав Грицько, — тут такий добрий жид, такий добрий, чорт його знає, де він такий добрий взявся. Благодареніє богу і всім святим,|Та бодай не казати сказав Грицько, - тут такий добрий жид, такий добрий, чорт його знає, де він такий добрий взявся. Благодареніє богу і всім святим,
kaydasheva_s000068|Лаврін спинив воли й водив слідком за Мелашкою очима, доки вона ввійшла в свою хату. Тоді він повернув воли назад і поїхав додому.|Лаврін спинив воли й водив слідком за Мелашкою очима, доки вона ввійшла в свою хату. Тоді він повернув воли назад і поїхав додому.
kaydasheva_s000069|В млині мололи семигорські люди і впізнали Кайдаша.|В млині мололи семигорські люди і впізнали Кайдаша.
kaydasheva_s000070|Кайдаш увійшов у хату. На комині блимала лампа без скла й більше чадила, ніж світила. Глянув Кайдаш за стіл; на покуті сидить чумак, з котрим він стрічався в Криму,|Кайдаш увійшов у хату. На комині блимала лампа без скла й більше чадила, ніж світила. Глянув Кайдаш за стіл; на покуті сидить чумак, з котрим він стрічався в Криму,
kaydasheva_s000071|Раз у спасівку старий Кайдаш пішов в суботу на вечерню. Сонце стояло над лісом. Церква була порожня. В бабинці стояла одним одна баба.|Раз у спасівку старий Кайдаш пішов в суботу на вечерню. Сонце стояло над лісом. Церква була порожня. В бабинці стояла одним одна баба.
kaydasheva_s000072|Кайдаш з Карпом закидав стіни, вшив покрівлю, а Мотря валькувала стіни. Стара Кайдашиха не поклала своїми руками ні одного валька глини.|Кайдаш з Карпом закидав стіни, вшив покрівлю, а Мотря валькувала стіни. Стара Кайдашиха не поклала своїми руками ні одного валька глини.
kaydasheva_s000073|Що ти кажеш? Через мене Мелашка покинула нас? Тобі, Палажко, час помирати, а ти набріхуєш на мене! Схаменися, стара бабо! Що ти верзеш? Сама ходить по хатах,|Що ти кажеш? Через мене Мелашка покинула нас? Тобі, Палажко, час помирати, а ти набріхуєш на мене! Схаменися, стара бабо! Що ти верзеш? Сама ходить по хатах,
kaydasheva_s000074|Мотря не любила Мелашки i все чогось підкопувалась під неї, мов річка під крутий берег. Мелашка жила з Кайдашихою в одній хаті, а через Кайдашиху Мотря була недобра й до Мелашки.|Мотря не любила Мелашки i все чогось підкопувалась під неї, мов річка під крутий берег. Мелашка жила з Кайдашихою в одній хаті, а через Кайдашиху Мотря була недобра й до Мелашки.
kaydasheva_s000075|Тату! Не бийтесь! — ледве промовив Карпо. Кайдаш, блідий, з темними блискучими очима, знову кинувся на Карпа.|Тату! Не бийтесь! - ледве промовив Карпо. Кайдаш, блідий, з темними блискучими очима, знову кинувся на Карпа.
kaydasheva_s000076|Всі Кайдаші стояли кругом баби, посхилявши голови, і тільки важко зітхали. Кайдашисі здалося, що та молодиця була Мелашка. Вона боялась, що її проклін побив Мелашку,|Всі Кайдаші стояли кругом баби, посхилявши голови, і тільки важко зітхали. Кайдашисі здалося, що та молодиця була Мелашка. Вона боялась, що її проклін побив Мелашку,
kaydasheva_s000077|Хто? Ти? Мені? Своїй матері? — сичала Кайдашиха. — Карпе! ти чуєш, що твоя Мотрунька говорить на мене? То це ти таке говориш мені, своїй матері? Карпе,|Хто? Ти? Мені? Своїй матері? - сичала Кайдашиха. - Карпе! ти чуєш, що твоя Мотрунька говорить на мене? То це ти таке говориш мені, своїй матері? Карпе,
kaydasheva_s000078|Добра смерть, коли ви, тату, й не перестаєте пити, — говорив Лаврін.|Добра смерть, коли ви, тату, й не перестаєте пити, - говорив Лаврін.
kaydasheva_s000079|важка туга, лежав сором, перемішаний з жалем.|важка туга, лежав сором, перемішаний з жалем.
kaydasheva_s000080|У волості присудили або дати Крпові десять різок, або заплатить матері п'ять карбованців, як тільки Карпо не перепросить матері і не помириться з нею.|У волості присудили або дати Крпові десять різок, або заплатить матері п'ять карбованців, як тільки Карпо не перепросить матері і не помириться з нею.
kaydasheva_s000081|Я оце говорила з батьком за тебе. Батько хоче тебе оженити. Посилай, сину, старостів до Катрі Головківни. Катря тиха дівчина й гарна, мов калина процвітає.|Я оце говорила з батьком за тебе. Батько хоче тебе оженити. Посилай, сину, старостів до Катрі Головківни. Катря тиха дівчина й гарна, мов калина процвітає.
kaydasheva_s000082|Тікай, бо, їй-богу, пхну. Я не подивлюсь тобі в вічі, — крикнула Мотря й замахнулась на Карпа віхтем. Червона глина бризнула трьома кров'яними крапельками на білу Карпову сорочку.|Тікай, бо, їй-богу, пхну. Я не подивлюсь тобі в вічі, - крикнула Мотря й замахнулась на Карпа віхтем. Червона глина бризнула трьома кров'яними крапельками на білу Карпову сорочку.
kaydasheva_s000083|Мелашка затріпала рученятами, неначе пташка крилами. Ще й гаразд не обмила тіста на руках, обтерла їх сяк так рушником і кинулась вимішувати лемішку.|Мелашка затріпала рученятами, неначе пташка крилами. Ще й гаразд не обмила тіста на руках, обтерла їх сяк так рушником і кинулась вимішувати лемішку.
kaydasheva_s000084|Як громада, то й громада! Ходім в волость, бо я своєю часткою не поступлюсь, — сказав Карпо.|Як громада, то й громада! Ходім в волость, бо я своєю часткою не поступлюсь, - сказав Карпо.
kaydasheva_s000085|Стара хата стояла на вулицю боком, бо хати в селах ставлять вікнами і дверима на південь, а південь припадав не на вулицю. Карпо поставив свою хату недалечко од Лаврінової.|Стара хата стояла на вулицю боком, бо хати в селах ставлять вікнами і дверима на південь, а південь припадав не на вулицю. Карпо поставив свою хату недалечко од Лаврінової.
kaydasheva_s000086|в неї щоки, мов яблука, зуби, як біла ріпа, коса, як праник, сама дівка здорова, як тур: як іде, то під нею аж земля стугонить.|в неї щоки, мов яблука, зуби, як біла ріпа, коса, як праник, сама дівка здорова, як тур: як іде, то під нею аж земля стугонить.
kaydasheva_s000087|Наша хата край села в яру, на Западинцях, — сказала вона дуже тихо й зовсім спустила вії на щоки.|Наша хата край села в яру, на Западинцях, - сказала вона дуже тихо й зовсім спустила вії на щоки.
kaydasheva_s000088|Вона хоче прясти собі на полотно нарізно од нас, — сказала Кайдашиха, ледве дишучи.|Вона хоче прясти собі на полотно нарізно од нас, - сказала Кайдашиха, ледве дишучи.
kaydasheva_s000089|Де вже, щоб мої сини та не помирились! На цілому світі нема таких слухняних дітей, як мої сизопері орли! — хвалилась Кайдашиха, виходячи через ворота на вулицю.|Де вже, щоб мої сини та не помирились! На цілому світі нема таких слухняних дітей, як мої сизопері орли! - хвалилась Кайдашиха, виходячи через ворота на вулицю.
kaydasheva_s000090|Чого це ти так довго барився, неначе їздив з мішками в Крим?|Чого це ти так довго барився, неначе їздив з мішками в Крим?
kaydasheva_s000091|Ой господи милосердний! Мабуть, ти наважилась звести мене з світу! — крикнула Кайдашиха. — Що це ти витворяєш?|Ой господи милосердний! Мабуть, ти наважилась звести мене з світу! - крикнула Кайдашиха. - Що це ти витворяєш?
kaydasheva_s000092|Над цвинтарем ніби висіла Андріївська тора з гострим верхом, а на самому вершечку стриміла Андріївська церква і ніби висіла на ясному темно-синьому небі, що блищало на заході.|Над цвинтарем ніби висіла Андріївська тора з гострим верхом, а на самому вершечку стриміла Андріївська церква і ніби висіла на ясному темно-синьому небі, що блищало на заході.
kaydasheva_s000093|Дорога в село йшла коло самого Кайдашевого городу. Вона спускалась з крутого шпиля, як з печі. Вози з снопами часом котились з гори і тягли вниз за собою й волів.|Дорога в село йшла коло самого Кайдашевого городу. Вона спускалась з крутого шпиля, як з печі. Вози з снопами часом котились з гори і тягли вниз за собою й волів.
kaydasheva_s000094|Для неї так хотілось побачити всі дива, що вона не почувала, як у неї боліли ноги, нили коліна.|Для неї так хотілось побачити всі дива, що вона не почувала, як у неї боліли ноги, нили коліна.
kaydasheva_s000095|Вся її голова аж ніби горіла квітками проти сонця. Павине пір’я блищало й миготіло, а золотий пружок парчі на чорних косах сяв і надавав краси тонким чорним бровам та блискучим очам.|Вся її голова аж ніби горіла квітками проти сонця. Павине піря блищало й миготіло, а золотий пружок парчі на чорних косах сяв і надавав краси тонким чорним бровам та блискучим очам.
kaydasheva_s000096|Карпо був широкий в плечах, з батьківськими карими гострими очима, з блідуватим лицем.|Карпо був широкий в плечах, з батьківськими карими гострими очима, з блідуватим лицем.
kaydasheva_s000097|Пом'яни, господи, раба божого Омелька, та ті книжки, що в церкві читають: єрмолой, бермолой, савгирю і ще й тую, що телятиною обшита. Радуйся, Охрімку й Пархімку і ти,|Пом'яни, господи, раба божого Омелька, та ті книжки, що в церкві читають: єрмолой, бермолой, савгирю і ще й тую, що телятиною обшита. Радуйся, Охрімку й Пархімку і ти,
kaydasheva_s000098|Чом же ви не розділили пасіки? — сказала вона. — Адже ж пасіка батькова! Гаращо все загарбали собі в руки! На Лавріновій половині в садку більше двома грушами і однією яблунею.|Чом же ви не розділили пасіки? - сказала вона. - Адже ж пасіка батькова! Гаращо все загарбали собі в руки! На Лавріновій половині в садку більше двома грушами і однією яблунею.
kaydasheva_s000099|Хочу прясти, бо маю право, — сказала Мотря.|Хочу прясти, бо маю право, - сказала Мотря.
kaydasheva_s000100|вище од свого городу, на котрому його батько поламав десятків зо два возів.|вище од свого городу, на котрому його батько поламав десятків зо два возів.
kaydasheva_s000101|На Лавріновому дворі піднявся гвалт. Через тин лаялись вже не жінки, а чоловіки. Лаврін доказував, що то груша його, бо він її прищепив, бо йому подарував батько,|На Лавріновому дворі піднявся гвалт. Через тин лаялись вже не жінки, а чоловіки. Лаврін доказував, що то груша його, бо він її прищепив, бо йому подарував батько,
kaydasheva_s000102|Сонце почало повертать на вечірній круг. Кайдашиха вийшла з хати і прикрила очі долонею.|Сонце почало повертать на вечірній круг. Кайдашиха вийшла з хати і прикрила очі долонею.
kaydasheva_s000103|А груші висіли, як горнята, та жовті, як віск! Лаврінові діти дали б їм гарту, хоч би вони зовсім були чужі, а тут бабуся й мамуся кажуть, що можна й треба рвать.|А груші висіли, як горнята, та жовті, як віск! Лаврінові діти дали б їм гарту, хоч би вони зовсім були чужі, а тут бабуся й мамуся кажуть, що можна й треба рвать.
kaydasheva_s000104|А ти що робиш ото на хаті? — гукнув голова до Лавріна. Зараз мені злазь та давай одвіт перед нами.|А ти що робиш ото на хаті? - гукнув голова до Лавріна. Зараз мені злазь та давай одвіт перед нами.
